latitude,longitude,altitude,geometry,name,address1,address2,city,state,zip
41.679151,-69.956011,,Point,The Artful Hand,459 Main Street,,Chatham,MA,2633
42.173731,-70.88346,,Point,SAHAGIAN JEWELERS,22 WASHINGTON ST,ROUTE 53,NORWELL,MA,2061
42.357084,-71.059387,,Point,BARMAKIAN BROTHERS,333 WASHINGTON STREET,7TH FLOOR,BOSTON,MA,2108
42.154908,-71.20164,,Point,KEYSTONE JEWELERS,90 PROVIDENCE HIGHWAY,WALPOLE MALL,EAST WALPOLE,MA,2032
42.105124,-76.809139,,Point,RAY JEWELERS,1100 CLEMENS CENTER PRKY,WEGEMANS PLAZA,ELMIRA,NY,14901
41.295128,-73.110857,,Point,MARKS OF DESIGN,389 BRIDGEPORT AVENUE,SUITE 103,SHELTON,CT,6484
41.31455,-73.216542,,Point,GACH JEWELERS,470 MUNROE TURNPIKE,ROUTE 111,MONROE,CT,6468
43.319276,-70.974578,,Point,BEA'S JEWELERS,5 MILTON ROAD,BOX 11   LILAC MALL,ROCHESTER,NH,3867
44.198096,-72.502716,,Point,RICHARD J WOBBY JEWELERS,124 NORTH MAIN STREET,SUITE 1,BARRE,VT,5641
42.016725,-71.479255,,Point,PIETTE JEWELERS,1500 DIAMOND HILL ROAD,WALNUT HILL PLAZA,WOONSOCKET,RI,2895
42.805535,-71.544808,,Point,A & E DIAMONDS & GOLD,707 OLD MILFORD ROAD,PENNICHUCK SQUARE,MERRIMACK,NH,3054
41.760614,-72.740957,,Point,BECKER'S JEWELRY,SUITE 203,65 LA SALLE ROAD,WEST HARTFORD,CT,6107
44.799427,-68.767569,,Point,QUALITY JEWELERS,25 WASHINGTON STREET,PENOBSCOT PLAZA,BANGOR,ME,4401
42.357084,-71.059387,,Point,DOLABANY JEWELERS,333 WASHINGTON ST. STE 333,C/O DOLABANY CO.,BOSTON,MA,2108
42.174339,-72.575865,,Point,SAYEGH JEWELERS,601 MEMORIAL DRIVE,UNIT F,CHICOPEE,MA,1020
41.930049,-72.616826,,Point,SWEDE'S JEWELERS,98 BRIDGE STREET,P.O. BOX 598,EAST WINDSOR,CT,6088
41.617176,-70.489984,,Point,SACHS JEWELERS,3 CENTRAL SQUARE,MASHPEE COMMONS,MASHPEE,MA,2649
41.720796,-72.621131,,Point,LUX BOND & GREEN,140 Glastonbury Blvd,Somerset Sq,Glastonbury,CT,6033
41.80687,-72.5459,,Point,HANNOUSH JEWELERS,194 BUCKLAND HILLS DRIVE,,MANCHESTER,CT,6042
42.469346,-73.2047,,Point,CROWN JEWELERS,ALLENDALE CENTER,5 CHESHIRE RD. STE 21,PITTSFIELD,MA,1201
43.939038,-69.979653,,Point,DAYS JEWELERS,49 TOPSHAM FAIR MALL ROAD,TOPSHAM FAIR MALL,TOPSHAM,ME,4086
44.079863,-70.196053,,Point,DAYS JEWELERS,SHAW'S PLAZA,600 CENTER ST.,AUBURN,ME,4210
44.342927,-69.787456,,Point,DAYS JEWELERS,4 STEPHEN KING DRIVE,SUITE 2,AUGUSTA,ME,4330
42.961367,-71.441862,,Point,DAYS JEWELERS,66 MARCH AVE.,T.J. MAX PLAZA,MANCHESTER,NH,3103
41.052996,-73.536959,,Point,SIDNEY THOMAS JEWELERS,100 GRAYROCK PLACE #G204,STAMFORD TOWN CENTER,STAMFORD,CT,6901
42.31886,-71.18027,,Point,SIDNEY THOMAS JEWELERS,ATRIUM MALL,300 BOYLSTON ST.,CHESTNUT HILL,MA,2167
41.828209,-71.420508,,Point,SIDNEY THOMAS JEWELERS,PROVIDENCE PLACE MALL,87 PROVIDENCE PLACE,PROVIDENCE,RI,2903
42.360612,-71.054838,,Point,BOSTON PEWTER CO.,1 SOUTH MARKET,FANEUIL HALL,BOSTON,MA,2109
42.587516,-70.884428,,Point,DESJARDINS JEWELERS,47 ENON ST,COMMODORE PLAZA,BEVERLY,MA,1915
42.555692,-71.179388,,Point,FLAHERTY ROBERT,248 MAIN ST,WILMINGTON PLAZA,WILMINGTON,MA,1887
42.274735,-71.746571,,Point,SACHS JEWELERS,180 BOSTON TURNPIKE,RT 9 EAST,SHREWSBURY,MA,1545
43.098097,-70.804191,,Point,THE JEWELERS WORKBENCH,50 FOX RUN RD,FOX RUN MALL,NEWINGTON,NH,3801
